mvo.vel_x,mvo.vel_y,mvo.vel_z,mvo.pos_x,mvo.pos_y,mvo.pos_z,imu.acc_x,imu.acc_y,imu.acc_z,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.q0,imu.q1,imu.q2, self.q3,imu.vg_x,imu.vg_y,imu.vg_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.311143,0.136869,-1.017725,-0.565760,0.559263,-1.271815,0.954292,-0.122865,0.160013,-0.220516,0.000000,0.000000,0.413506
-0.010000,-0.250000,-0.040000,0.016278,0.001072,-0.012605,0.311143,0.136869,-1.017725,-0.565760,0.559263,-1.271815,0.954292,-0.122865,0.160013,-0.220516,0.000000,0.000000,0.413506
-0.010000,-0.250000,-0.040000,0.016278,0.001072,-0.012605,-0.014114,0.730579,-0.868270,-0.255622,0.032623,-2.317836,0.879837,-0.213361,0.146408,-0.398659,0.000000,0.000000,-0.066790
-0.010000,-0.250000,-0.040000,0.016278,0.001072,-0.012605,-0.137902,0.766864,-0.773187,-0.827248,1.128381,-0.892224,0.785794,-0.268288,0.178069,-0.528053,0.000000,0.000000,-0.333197
-0.260000,-0.040000,-0.120000,0.008238,-0.014741,-0.011825,-0.137902,0.766864,-0.773187,-0.827248,1.128381,-0.892224,0.785794,-0.268288,0.178069,-0.528053,0.000000,0.000000,-0.333197
-0.260000,-0.040000,-0.120000,0.008238,-0.014741,-0.011825,-0.307214,0.409109,-0.915547,0.219714,-0.033311,-1.499142,0.687144,-0.230851,0.228400,-0.649903,0.000000,0.000000,-0.220986
-0.260000,-0.040000,-0.120000,0.008238,-0.014741,-0.011825,0.103586,0.266995,-0.794614,0.066877,0.279857,-0.978384,0.647623,-0.190936,0.238679,-0.697968,0.000000,0.000000,-0.098255
-0.070000,-0.200000,0.280000,0.004976,-0.016865,-0.010762,0.103586,0.266995,-0.794614,0.066877,0.279857,-0.978384,0.647623,-0.190936,0.238679,-0.697968,0.000000,0.000000,-0.098255
-0.070000,-0.200000,0.280000,0.004976,-0.016865,-0.010762,0.080834,0.447723,-0.760146,-0.341494,-0.005401,-0.182074,0.598955,-0.202896,0.227796,-0.740402,0.000000,0.000000,0.399909
0.000000,0.060000,-0.100000,0.003308,-0.017285,-0.010736,0.080834,0.447723,-0.760146,-0.341494,-0.005401,-0.182074,0.598955,-0.202896,0.227796,-0.740402,0.000000,0.000000,0.399909
0.000000,0.060000,-0.100000,0.003308,-0.017285,-0.010736,0.191550,0.701378,-0.933661,-0.870521,0.081204,0.176735,0.584114,-0.212547,0.242983,-0.744711,0.000000,0.000000,0.223888
